Nombre,Desc Corta,Capacidad,Alto,Ancho,Fondo,Colores,Descripcion,Imagen1,Imagen2,Imagen3,Imagen4,Categoria,Archivo
BASE TRAFITAMBO,,12 KG,10.0  cm,72.0 cm ,,NEGRO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Su diseño es especial para evitar que el trafitambo se nueva del lugar en donde se requiere.,1,1_2,1_3,,Base,BASE TRAFITAMBO.pdf
CAJA ESTIBABLE PRO-75 CON TAPA,,75 LT ,43.5 cm,43.0 cm ,64.5 cm ,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. La tapa cuenta con relieve ayudando así a que se ensamblen? evitando movimiento entre las mismas. Cuenta con manija para su  fácil manejo. La parte superior se encuentra reforzada para mayor soporte. Por su forma cónica son apilables? cuando se encuentran vacías. Se fabrican en colores que ayudan a la clasificación de los desechos o productos. Son de gran utilidad en hogares? oficinas?  escuelas? hospitales y lugares internos.,2,2_2,2_3,,Caja,CAJA APILABLE PRO-75.pdf
CARRO RECOLECTOR 175,,175 LTS ,103.0 cm ,70 cm,128.0 cm ,AMARILLO? NEGRO? VERDE ECOLOGICO? GRIS Y NARANJA ,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con tapa con bisagra para fácil manejo? lleva una llanta giratoria y dos fijas para un mejor desplazamiento y un maneral para su manipulación. Tiene como accesorios? pala y escoba. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en escuelas?  centros comerciales e industrias.,3,,,,Carro,CARRO RECOLECTOR 175.pdf
CARRO RECOLECTOR 350,,700 LTS,103.0 cm , 65.5.0 ,167.0 cm ,VERDE ECOLOGICO? GRIS Y NARANJA? AMARILLO O NEGRO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con tapas con bisagra para fácil manejo? lleva una llanta giratoria y dos fijas para un mejor desplazamiento y un maneral para su manipulación. Tiene como accesorios? pala y escoba. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en escuelas?  centros comerciales e industrias.,4,,,,Carro,CARRO RECOLECTOR 350.pdf
CHAROLA PRO-30,, 30 LT ,12.0 cm,58.0 cm ,66.0 cm ,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO? NEGRO Y GRIS CLARO,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Se fabrican en varios colores para ayuda a sus necesidades. Cuenta con un dobles superior para su fácil manejo. Son de gran utilidad en hogares? oficinas?  escuelas? hospitales y lugares internos.,5,,,,Charola,CHAROLA 30.pdf
BOTE CilEx 75,,75 LTS,84.0 CM, 39.0 CM ,, VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Bote con tapa desmontable? para el fácil vaciado y limpieza. Bote principalmente utilizado y adaptado para exteriores Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en hoteles? restaurants? escuelas? hospitales o empresas.,6,,,,Bote,CILEX 75.pdf
BOTE Cilex PRO-200,,200 LTS,92.0 CM,55.0 CM ,,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con tapa desmontable? para el fácil llenado y resguardo de residuos. Opcional tres ruedas giratorias para un fácil manejo y traslado. Su diseño es especial para industrias? empresas? hospitales? condominios y escuelas.,7,,,,Bote,CILEX 200.pdf
BOTE CONEX 145,, 145 LTS,60,60 - 43 cm,, VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Bote de forma cónica que ayuda a estibar cuando no se estén utilizando y ahorra espacio. Bote principalmente utilizado y adaptado para exteriores Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en unidades habitacionales ? escuelas? hospitales o en industrias.,8,,,,Bote,CONEX 145.pdf
CONTIN PRO-550,, 550 LTS, 116.0 cm, 105.0 cm ,85.0 cm , VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima?  con protección a los rayos UV. Cuenta con una tapita de fácil manejo para deposito de residuos? cuatro ruedas giratorias? para un mejor traslado y movimiento del mismo. Para facilitar su limpieza y drenaje cuenta con tapón de rosca de 2” en la parte inferior. Opcional separación de interior según necesidades. Contenedor principalmente utilizado y adaptado para exteriores. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en unidades habitacionales ? escuelas? hospitales o en industrias.,9,9_2,,,Contenedor,CONTENEDOR 550.pdf
CONTIN PRO-1000,,1000 LTS, 135.0 cm,129.0 cm ,108.0 cm ,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con dos tapitas de fácil manejo para deposito de residuos? cuatro ruedas giratorias? para un mejor traslado y movimiento del mismo. Para facilitar su limpieza y drenaje cuenta con tapón de rosca de 2” en la parte inferior. Opcional separación de interior según necesidades. Contenedor principalmente utilizado y adaptado para exteriores. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en unidades habitacionales ? escuelas? hospitales o en industrias.,10,,,,Contenedor,CONTENEDOR 1000.pdf
CONTIN PRO-2000,,2000 LTS, 139.0 cm,207.0 cm ,107.0 cm ,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con dos tapitas de fácil manejo para deposito de residuos? cuatro ruedas giratorias? para un mejor traslado y movimiento del mismo. Para facilitar su limpieza y drenaje cuenta con tapón de rosca de 2” en la parte inferior. Con dos laterales opcionales para levantamiento y vaciado frontal. Opcional separación de interior según necesidades. Contenedor principalmente utilizado y adaptado para exteriores. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en unidades habitacionales ? escuelas? hospitales o en industrias.,11,11_2,11_3,11_4,Contenedor,CONTENEDOR 2000.pdf
contin PRo-140,, 140 LTS, 102.0 cm , 50.0  cm , 55.0 cm ,VERDE ECOLOGICO?  VERDE  OBSCURO? ROJO? AZUL REY? AMARILLO Y  GRIS CLARO,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con dos ruedas fijas para un mejor traslado y movimiento del mismo? tapa con bisagra para el mejor depósito de residuos. Contenedor principalmente utilizado y adaptado para exteriores Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en unidades habitacionales ? escuelas? hospitales o en industrias.,12,,,,Contenedor,CONTIN PRO-140.pdf
contin PRO-240,, 240 LTS, 62.0  cm , 62.0  cm , 73.0 cm ,VERDE ECOLOGICO?  VERDE  OBSCURO? ROJO? AZUL REY? AMARILLO Y  GRIS CLARO,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con dos ruedas fijas para un mejor traslado y movimiento del mismo? tapa con bisagra para el mejor depósito de residuos. Contenedor principalmente utilizado y adaptado para exteriores Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en unidades habitacionales ? escuelas? hospitales o en industrias.,13,,,,Contenedor,CONTIN PRO-240.pdf
contin PRo-360,,  360 LTS ,114.0 cm ,70.5, 80.0 cm ,VERDE ECOLOGICO?  VERDE  OBSCURO? ROJO? AZUL REY? AMARILLO Y  GRIS CLARO,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con dos ruedas fijas para un mejor traslado y movimiento del mismo? tapa con bisagra para el mejor depósito de residuos. Contenedor principalmente utilizado y adaptado para exteriores Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en unidades habitacionales ? escuelas? hospitales o en industrias.,14,14_2,,,Contenedor,CONTIN PRO-360.pdf
PAPELERA GASOLINERA PRO-GAS-100 DOBLE,,150 LTS,92.0 cm, 57.5 cm ,,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos  y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Se encuentra divida en dos? para facilitar la separación de desperdicios. Puede ser con liners o con herraje. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en hogares? oficinas?  escuelas? hospitales y lugares internos.,15,15_2,15_3,15_4,Papelera,GASOLINERA TAPA DOBLE.pdf
PAPELERA GASOLINERA PRO-GAS-100,,150 LTS,85,57.5 cm,,VERDE ECOLOGICO Y GRIS CLARO,"Esta fabricada en el
proceso de rotomoldeo? utilizando polietileno de media
densidad? lo cual le da las propiedades de absorber los
impactos y ser altamente resistentes a las condiciones del
clima? cuenta con protección a los rayos UV.
Su diseño es especial para uso en las gasolineras de nuestra
ciudad.",16,,,,Papelera,GASOLINERA.pdf
